FTHG,FTAG,HST,AST,B365H,B365D,B365A,FTR
1,1,4.0,7.0,2.6,2.75,2.75,D
2,2,2.0,7.0,2.37,2.87,2.87,D
0,0,4.0,3.0,3.1,2.9,2.25,D
0,3,2.0,2.0,2.5,2.75,3.2,A
3,2,7.0,2.0,1.9,2.75,4.33,H
1,1,4.0,4.0,1.61,3.2,5.5,D
1,1,2.0,3.0,1.83,3.0,4.33,D
1,0,9.0,6.0,2.3,2.8,3.5,H
1,1,5.0,2.0,2.4,2.75,3.0,D
1,1,3.0,3.0,2.4,2.75,3.0,D
1,0,1.0,4.0,2.0,2.87,3.75,H
1,2,4.0,3.0,3.2,2.75,2.5,A
1,0,4.0,3.0,2.2,2.87,3.6,H
3,0,4.0,2.0,2.2,2.87,2.8,H
3,1,6.0,4.0,2.5,2.8,2.87,H
1,4,1.0,5.0,5.0,3.3,1.72,A
3,2,6.0,3.0,2.75,2.75,2.75,H
1,2,5.0,2.0,2.37,2.87,3.0,A
2,0,4.0,5.0,1.61,3.25,5.0,H
2,1,4.0,3.0,1.61,3.25,5.5,H
1,0,2.0,0.0,2.2,2.8,2.87,H
3,2,6.0,4.0,2.2,2.87,3.6,H
3,1,10.0,8.0,2.6,2.87,2.87,H
2,1,8.0,2.0,2.25,2.8,3.2,H
3,2,3.0,5.0,1.61,3.25,6.5,H
1,1,7.0,6.0,1.83,3.0,4.2,D
3,0,5.0,4.0,1.66,3.2,5.0,H
2,0,7.0,3.0,1.25,5.0,9.0,H
1,1,5.0,2.0,2.7,2.87,2.5,D
2,1,10.0,4.0,2.1,3.0,3.25,H
2,2,6.0,3.0,2.4,2.87,2.87,D
1,3,3.0,5.0,2.37,2.87,3.25,A
2,2,4.0,5.0,2.2,2.87,3.6,D
1,3,7.0,4.0,1.57,3.25,6.0,A
1,3,5.0,5.0,6.0,3.2,1.57,A
1,2,1.0,4.0,2.3,2.8,3.1,A
2,0,9.0,3.0,2.25,2.8,3.2,H
1,0,3.0,0.0,2.25,2.75,3.25,H
2,1,5.0,2.0,1.9,2.9,4.0,H
1,2,4.0,5.0,2.25,2.8,3.2,A
0,0,5.0,3.0,2.1,2.75,3.6,D
0,3,5.0,6.0,2.37,2.87,2.87,A
2,3,2.0,7.0,2.1,2.8,3.5,A
2,2,9.0,5.0,1.61,3.4,5.0,D
2,1,5.0,2.0,1.5,3.5,6.0,H
2,2,6.0,3.0,2.05,2.8,3.75,D
4,1,13.0,1.0,1.53,3.4,6.0,H
2,0,7.0,2.0,2.1,2.8,3.5,H
0,0,0.0,0.0,1.72,3.1,4.5,D
0,0,4.0,1.0,2.15,2.87,3.4,D
0,0,3.0,1.0,1.9,2.9,4.0,D
1,0,4.0,3.0,2.1,2.8,4.0,H
2,1,5.0,5.0,4.0,2.8,2.1,H
1,0,3.0,2.0,1.5,3.5,5.75,H
0,0,5.0,3.0,2.0,2.75,4.0,D
2,1,6.0,4.0,1.9,3.0,3.8,H
1,0,3.0,5.0,2.25,2.8,3.2,H
0,1,3.0,2.0,5.5,3.2,1.61,A
2,0,2.0,4.0,2.87,2.87,2.37,H
1,0,4.0,4.0,1.8,3.0,4.33,H
3,0,10.0,8.0,1.57,3.4,5.5,H
2,1,3.0,2.0,2.37,2.87,3.25,H
1,0,2.0,2.0,2.37,2.75,3.4,H
1,0,7.0,5.0,1.9,2.9,4.0,H
2,1,6.0,2.0,1.3,4.5,12.0,H
0,2,3.0,4.0,2.0,2.75,4.0,A
3,0,4.0,4.0,1.95,2.9,3.8,H
4,2,6.0,1.0,1.55,3.4,5.75,H
3,1,7.0,3.0,2.2,2.9,3.1,H
3,0,7.0,4.0,1.83,2.87,4.5,H
1,1,4.0,8.0,2.87,2.87,2.45,D
0,0,7.0,4.0,2.3,2.87,3.5,D
1,1,3.0,4.0,2.3,2.8,3.5,D
1,0,3.0,2.0,1.44,3.5,8.0,H
1,3,3.0,3.0,1.85,2.9,4.2,A
1,0,3.0,3.0,1.72,3.0,5.0,H
1,0,5.0,4.0,1.95,3.0,3.75,H
2,2,9.0,8.0,2.5,3.0,2.7,D
2,1,5.0,2.0,2.5,2.9,2.75,H
2,0,6.0,3.0,1.9,3.0,3.8,H
3,1,4.0,2.0,1.95,2.87,4.0,H
0,0,0.0,2.0,2.25,2.8,3.6,D
1,4,4.0,8.0,3.0,2.87,2.5,A
3,1,9.0,4.0,1.5,3.4,6.5,H
1,1,2.0,3.0,2.7,2.75,2.62,D
1,0,4.0,2.0,1.83,3.0,4.33,H
1,0,3.0,3.0,2.05,2.8,3.6,H
1,0,5.0,1.0,2.5,2.75,2.9,H
1,0,6.0,2.0,1.8,3.2,4.2,H
1,2,6.0,3.0,1.95,2.75,4.2,A
3,1,4.0,2.0,2.5,2.7,3.0,H
1,0,1.0,1.0,1.33,4.33,10.0,H
2,1,4.0,5.0,3.25,2.8,2.25,H
2,3,5.0,3.0,1.83,3.0,4.33,A
0,1,4.0,6.0,1.44,3.6,7.0,A
0,0,4.0,4.0,1.8,3.0,4.33,D
1,0,2.0,8.0,6.0,3.6,1.57,H
1,1,5.0,3.0,2.1,2.9,3.4,D
1,0,4.0,3.0,1.72,3.0,5.0,H
3,0,5.0,5.0,2.1,2.8,3.5,H
0,3,3.0,6.0,2.62,2.87,2.6,A
2,1,5.0,5.0,2.2,2.87,3.6,H
1,3,2.0,4.0,2.0,2.87,4.33,A
2,1,4.0,1.0,1.16,6.5,15.0,H
0,0,1.0,3.0,1.8,3.2,4.75,D
1,1,2.0,3.0,2.5,2.87,2.75,D
0,0,1.0,2.0,1.72,3.2,4.5,D
2,0,3.0,4.0,2.5,2.75,2.87,H
2,2,7.0,5.0,2.3,2.87,3.0,D
0,0,4.0,3.0,2.2,2.87,3.2,D
3,1,5.0,5.0,1.61,3.2,5.5,H
1,0,5.0,3.0,2.2,2.87,3.6,H
0,4,4.0,5.0,2.5,2.8,3.1,A
2,0,4.0,1.0,1.61,3.4,5.0,H
2,2,4.0,7.0,1.83,2.8,4.75,D
1,0,3.0,8.0,1.5,3.5,6.5,H
0,2,2.0,2.0,1.95,2.75,4.2,A
1,1,5.0,4.0,1.85,2.9,4.2,D
0,1,2.0,7.0,9.0,4.0,1.3,A
0,0,5.0,6.0,2.55,2.75,2.8,D
2,1,5.0,4.0,1.7,3.2,4.75,H
1,0,2.0,2.0,2.05,2.8,4.2,H
1,0,7.0,4.0,1.4,4.0,9.0,H
1,0,4.0,5.0,2.0,2.75,4.0,H
1,1,6.0,7.0,1.66,3.2,5.0,D
1,3,4.0,5.0,2.3,2.8,3.1,A
2,2,3.0,4.0,1.72,3.0,5.0,D
1,0,4.0,3.0,2.0,2.75,4.0,H
1,1,6.0,3.0,3.2,2.87,2.4,D
1,1,3.0,3.0,2.5,2.87,3.0,D
1,0,6.0,3.0,1.33,4.33,10.0,H
1,1,2.0,3.0,2.6,2.87,2.6,D
1,0,4.0,6.0,2.5,2.75,2.87,H
0,0,6.0,1.0,1.75,3.0,4.75,D
0,1,2.0,5.0,7.0,3.75,1.5,A
3,0,7.0,1.0,1.95,2.8,4.0,H
3,0,8.0,2.0,1.7,3.1,5.0,H
2,0,7.0,5.0,1.72,3.0,4.75,H
1,2,3.0,2.0,2.0,2.8,3.75,A
2,0,4.0,3.0,1.66,3.1,5.5,H
1,3,1.0,10.0,2.37,2.87,3.25,A
1,0,5.0,3.0,2.4,2.87,3.2,H
1,2,5.0,2.0,1.65,3.1,5.25,A
2,0,5.0,3.0,1.75,3.1,4.33,H
2,1,4.0,4.0,1.8,3.0,4.33,H
0,0,2.0,2.0,2.1,2.9,3.4,D
0,0,5.0,1.0,2.1,2.8,3.6,D
0,1,1.0,5.0,2.4,2.75,3.3,A
3,3,8.0,4.0,2.5,2.75,2.9,D
0,0,3.0,3.0,2.4,2.75,3.0,D
2,2,6.0,4.0,1.8,3.1,5.0,D
3,1,8.0,6.0,1.4,4.0,9.0,H
2,0,4.0,3.0,2.15,2.8,3.5,H
3,0,8.0,3.0,2.1,2.8,3.4,H
2,0,8.0,1.0,2.4,2.87,3.25,H
0,0,4.0,3.0,2.62,2.75,2.7,D
1,1,5.0,5.0,1.66,3.3,4.75,D
2,0,4.0,2.0,3.6,3.0,2.0,H
3,0,8.0,2.0,1.5,3.5,6.0,H
2,1,4.0,1.0,1.85,3.1,4.5,H
0,4,1.0,6.0,3.75,3.1,2.05,A
0,0,7.0,4.0,1.75,3.0,4.75,D
2,1,7.0,5.0,1.83,3.25,4.5,H
1,0,5.0,5.0,1.72,3.3,5.0,H
1,1,4.0,3.0,1.66,3.4,5.5,D
0,0,2.0,4.0,2.5,3.0,2.87,D
0,0,6.0,0.0,1.33,4.5,9.5,D
1,2,5.0,4.0,2.6,3.0,2.8,A
2,1,6.0,3.0,2.0,3.0,4.0,H
0,4,6.0,7.0,1.72,3.3,5.0,A
1,1,5.0,9.0,2.8,3.0,2.6,D
2,1,9.0,9.0,1.83,3.0,5.0,H
1,0,3.0,1.0,2.05,2.87,3.6,H
1,1,6.0,5.0,1.61,3.25,5.5,D
2,0,7.0,1.0,1.75,3.0,4.75,H
1,1,2.0,1.0,2.1,3.0,3.75,D
1,0,3.0,2.0,2.0,2.87,3.8,H
1,2,4.0,6.0,1.5,3.4,7.0,A
2,2,6.0,9.0,2.37,2.9,2.9,D
2,0,3.0,5.0,6.0,3.5,1.5,H
0,2,2.0,5.0,2.3,3.1,3.1,A
0,1,5.0,4.0,2.0,3.1,4.0,A
0,0,2.0,1.0,1.85,3.0,4.0,D
1,0,3.0,3.0,1.83,3.1,4.75,H
1,0,3.0,2.0,2.75,2.75,2.6,H
1,2,10.0,4.0,1.4,3.75,8.5,A
3,1,3.0,3.0,1.72,3.2,4.5,H
0,2,6.0,3.0,1.83,3.0,4.33,A
0,1,3.0,6.0,2.25,2.8,3.2,A
1,1,6.0,4.0,1.5,3.4,6.5,D
1,0,9.0,1.0,2.25,2.8,3.2,H
1,1,2.0,3.0,2.1,2.8,3.5,D
0,2,2.0,3.0,2.05,3.0,3.8,A
0,1,2.0,3.0,2.15,2.9,3.8,A
2,0,12.0,7.0,3.0,2.75,2.62,H
1,1,6.0,2.0,1.16,5.5,13.0,D
0,2,9.0,5.0,1.9,2.9,4.0,A
0,0,6.0,4.0,1.9,2.87,4.0,D
1,0,5.0,3.0,1.7,3.2,4.75,H
0,1,5.0,2.0,3.0,2.75,2.45,A
1,1,6.0,3.0,1.75,3.0,4.75,D
2,0,3.0,4.0,2.0,2.8,4.5,H
3,3,8.0,3.0,1.83,3.1,4.75,D
0,0,4.0,2.0,1.57,3.6,6.0,D
2,1,3.0,4.0,2.15,2.8,3.4,H
2,1,3.0,4.0,1.85,2.9,4.2,H
2,1,8.0,1.0,1.95,3.0,4.33,H
2,1,3.0,3.0,2.5,2.7,3.0,H
0,0,2.0,3.0,1.95,2.75,4.2,D
1,2,8.0,12.0,1.45,3.6,6.5,A
1,3,6.0,3.0,3.0,2.7,2.45,A
1,1,8.0,2.0,1.85,3.1,4.75,D
1,0,5.0,9.0,7.5,3.6,1.5,H
1,1,6.0,2.0,2.1,3.0,3.25,D
3,2,8.0,5.0,1.72,3.2,4.5,H
1,0,3.0,3.0,1.33,4.5,9.5,H
2,5,11.0,8.0,1.8,3.0,4.33,A
3,0,9.0,2.0,1.9,3.0,3.8,H
4,2,6.0,6.0,2.15,3.0,3.6,H
1,1,3.0,3.0,2.0,3.0,3.5,D
1,0,3.0,5.0,2.6,2.87,2.87,H
1,0,3.0,4.0,2.4,2.87,3.2,H
3,1,7.0,3.0,1.8,3.2,4.75,H
1,2,2.0,3.0,3.0,3.0,2.4,A
0,1,5.0,5.0,1.9,3.1,3.75,A
0,3,5.0,4.0,2.1,2.87,3.4,A
2,2,4.0,4.0,2.5,2.8,2.8,D
2,0,6.0,4.0,1.9,2.9,4.0,H
1,3,5.0,4.0,1.9,3.1,4.33,A
1,0,2.0,6.0,2.6,2.87,2.62,H
0,1,2.0,2.0,2.1,3.0,3.25,A
0,0,9.0,1.0,1.5,3.75,7.0,D
0,0,4.0,5.0,2.37,3.0,2.8,D
0,2,3.0,2.0,2.37,2.87,2.87,A
3,3,7.0,4.0,1.36,4.0,7.5,D
1,1,5.0,6.0,2.3,2.87,3.0,D
2,1,5.0,4.0,2.5,2.7,2.9,H
0,2,9.0,4.0,1.61,3.2,5.5,A
3,0,3.0,4.0,2.5,3.0,2.62,H
3,0,7.0,4.0,2.25,2.87,3.1,H
2,1,8.0,4.0,1.57,3.4,5.5,H
2,2,3.0,2.0,1.66,3.2,5.0,D
0,2,2.0,6.0,1.9,3.0,3.8,A
1,0,6.0,3.0,2.2,2.87,3.25,H
4,0,7.0,1.0,1.61,3.4,6.0,H
0,0,3.0,1.0,2.25,3.0,3.0,D
0,0,2.0,3.0,2.2,2.87,3.6,D
1,1,4.0,5.0,2.1,2.87,3.4,D
2,0,5.0,3.0,3.0,2.87,2.5,H
1,3,2.0,4.0,2.87,3.0,2.5,A
0,0,4.0,2.0,2.4,2.87,3.2,D
0,1,5.0,1.0,2.2,2.87,3.6,A
1,2,5.0,3.0,1.9,3.0,4.5,A
2,0,4.0,2.0,1.9,3.1,3.8,H
2,1,2.0,5.0,2.25,3.0,3.0,H
0,0,3.0,3.0,2.75,2.8,2.5,D
2,1,6.0,4.0,2.1,3.0,3.25,H
1,1,4.0,6.0,1.95,3.0,3.6,D
1,1,2.0,2.0,2.25,2.87,3.5,D
1,3,4.0,4.0,2.0,3.0,3.5,A
1,1,8.0,3.0,1.53,3.6,6.5,D
1,1,7.0,5.0,1.57,3.6,6.0,D
0,1,1.0,7.0,2.0,3.0,4.0,A
0,2,4.0,4.0,1.66,3.3,4.75,A
3,0,4.0,0.0,1.6,3.4,5.0,H
2,1,2.0,4.0,1.75,3.25,4.33,H
0,3,2.0,4.0,4.2,3.25,1.8,A
1,1,4.0,1.0,2.45,2.87,2.8,D
4,2,6.0,2.0,2.2,3.0,3.4,H
3,1,7.0,4.0,1.61,3.3,5.25,H
0,0,3.0,1.0,2.0,3.0,3.6,D
1,0,2.0,3.0,2.4,2.87,3.2,H
1,0,7.0,7.0,2.4,2.87,3.2,H
2,1,4.0,5.0,2.87,2.87,2.4,H
2,2,5.0,5.0,2.2,2.87,3.25,D
1,2,5.0,3.0,1.95,3.0,4.33,A
0,2,4.0,3.0,1.53,3.4,6.0,A
0,1,4.0,4.0,1.95,3.0,4.33,A
1,1,4.0,3.0,2.3,2.87,3.1,D
1,0,4.0,3.0,2.2,2.87,3.25,H
0,1,3.0,1.0,2.3,2.87,3.0,A
0,0,6.0,4.0,2.1,2.8,3.6,D
0,0,2.0,4.0,1.66,3.25,5.0,D
0,1,2.0,5.0,1.95,3.0,4.0,A
2,1,2.0,3.0,1.75,3.25,4.5,H
1,0,1.0,4.0,2.4,2.8,3.0,H
1,1,4.0,2.0,1.8,3.25,4.33,D
2,1,2.0,3.0,1.8,3.2,4.2,H
0,0,2.0,5.0,5.0,3.4,1.7,D
4,1,6.0,2.0,2.15,2.8,4.0,H
0,2,1.0,5.0,2.4,3.0,3.0,A
0,0,2.0,2.0,2.2,2.87,3.6,D
0,0,4.0,4.0,2.2,2.87,3.0,D
2,0,4.0,2.0,2.0,3.0,3.75,H
0,0,5.0,0.0,2.3,2.87,3.1,D
0,0,2.0,1.0,2.9,2.75,2.5,D
2,0,6.0,5.0,2.0,3.0,3.75,H
0,0,0.0,3.0,2.1,2.9,3.5,D
0,0,5.0,3.0,2.8,2.87,2.5,D
1,0,8.0,5.0,1.33,4.5,9.5,H
2,1,3.0,5.0,2.37,3.0,3.1,H
3,0,4.0,2.0,1.66,3.25,5.0,H
0,0,1.0,0.0,1.44,3.75,7.0,D
2,0,11.0,7.0,1.72,3.4,4.33,H
2,1,4.0,5.0,1.5,3.5,6.5,H
3,1,5.0,5.0,2.25,2.87,3.3,H
1,0,6.0,1.0,2.05,2.87,3.75,H
4,0,7.0,3.0,1.72,3.4,4.33,H
3,2,7.0,3.0,2.3,2.8,3.2,H
1,1,11.0,9.0,2.3,2.8,3.2,D
1,1,6.0,3.0,1.9,2.9,4.2,D
0,0,1.0,7.0,3.25,3.1,2.2,D
0,2,6.0,2.0,2.25,3.0,3.3,A
0,1,4.0,4.0,1.72,3.1,5.0,A
0,0,2.0,3.0,2.25,2.87,3.3,D
2,1,9.0,2.0,1.4,3.75,8.0,H
0,2,3.0,7.0,2.4,2.87,2.9,A
0,0,3.0,6.0,2.0,2.9,4.2,D
1,3,7.0,5.0,2.15,2.87,3.75,A
3,2,10.0,5.0,2.05,2.87,3.7,H
2,2,9.0,6.0,2.5,2.87,2.8,D
1,0,1.0,0.0,2.15,2.87,3.75,H
4,2,7.0,3.0,1.72,3.3,5.0,H
1,0,8.0,3.0,1.9,2.87,4.2,H
1,1,7.0,3.0,1.85,3.1,4.2,D
2,0,12.0,4.0,1.9,2.9,4.2,H
3,0,7.0,7.0,2.25,2.75,3.25,H
1,1,3.0,7.0,2.7,2.75,2.9,D
0,0,3.0,6.0,2.3,2.87,3.1,D
3,1,2.0,3.0,2.15,2.9,3.5,H
1,0,6.0,3.0,1.8,3.1,4.5,H
1,2,2.0,1.0,2.7,2.75,2.9,A
2,1,5.0,2.0,2.3,2.87,3.4,H
0,1,5.0,3.0,1.3,4.2,11.0,A
2,1,9.0,2.0,1.85,3.1,4.2,H
2,1,5.0,1.0,2.37,2.87,3.1,H
3,0,7.0,1.0,2.0,3.1,3.6,H
2,1,12.0,4.0,1.33,4.2,9.5,H
1,0,4.0,1.0,2.75,2.75,2.75,H
2,1,6.0,3.0,2.15,2.87,3.4,H
2,2,6.0,5.0,2.75,3.0,2.45,D
1,0,6.0,2.0,2.1,3.0,3.3,H
0,1,3.0,4.0,1.65,3.4,4.75,A
2,1,2.0,8.0,2.1,3.0,3.4,H
1,1,4.0,5.0,2.87,3.1,2.3,D
0,0,1.0,4.0,1.66,3.4,5.5,D
1,0,5.0,5.0,2.6,2.87,2.7,H
5,2,4.0,2.0,2.3,3.0,3.0,H
0,0,2.0,1.0,2.87,2.9,2.4,D
2,1,8.0,6.0,1.8,3.25,4.2,H
4,1,6.0,7.0,1.72,3.1,5.0,H
1,1,3.0,2.0,2.3,3.0,3.0,D
1,2,4.0,3.0,3.25,3.0,2.3,A
1,1,2.0,2.0,3.1,3.2,2.15,D
0,1,2.0,7.0,2.45,3.0,2.7,A
3,1,9.0,4.0,1.36,4.33,7.5,H
1,0,5.0,2.0,1.36,4.33,7.0,H
2,0,4.0,1.0,1.8,3.25,4.2,H
3,3,6.0,6.0,1.95,3.0,3.8,D
1,0,5.0,5.0,1.85,3.2,4.0,H
3,1,6.0,3.0,2.62,3.0,2.75,H
3,0,9.0,8.0,7.5,4.0,1.45,H
1,3,7.0,3.0,2.3,3.0,3.1,A
2,3,8.0,5.0,3.25,3.0,2.3,A
2,0,7.0,3.0,1.44,3.75,8.5,H
3,1,6.0,2.0,1.83,3.0,5.0,H
0,1,7.0,5.0,1.72,3.1,5.5,A
1,2,2.0,6.0,1.72,3.1,5.5,A
1,0,5.0,4.0,2.8,3.0,2.6,H
2,1,6.0,6.0,1.44,3.75,8.5,H
4,3,6.0,8.0,1.44,3.75,8.5,H
1,2,4.0,7.0,1.57,3.4,7.0,A
1,1,9.0,4.0,2.0,3.2,3.75,D
1,1,5.0,1.0,1.28,4.75,11.0,D
2,1,8.0,1.0,2.25,3.1,3.2,H
1,1,4.0,2.0,2.25,3.0,3.3,D
0,0,5.0,2.0,2.25,3.0,3.3,D
1,1,2.0,1.0,2.2,3.0,3.4,D
1,2,12.0,5.0,2.0,3.1,3.8,A
1,0,4.0,5.0,3.25,3.0,2.3,H
0,2,6.0,7.0,6.0,3.8,1.53,A
1,3,2.0,12.0,4.0,3.25,1.9,A
2,0,6.0,4.0,2.0,3.1,4.0,H
0,0,3.0,4.0,2.0,3.0,4.0,D
2,2,9.0,2.0,2.25,2.87,3.5,D
0,1,2.0,6.0,2.5,2.87,3.0,A
1,0,6.0,5.0,1.5,3.75,7.0,H
2,0,2.0,3.0,2.1,3.0,3.75,H
1,0,5.0,6.0,1.16,6.0,19.0,H
5,3,9.0,5.0,1.57,3.4,7.0,H
0,1,6.0,7.0,2.6,2.87,2.87,A
3,3,8.0,7.0,2.1,3.0,3.75,D
1,2,4.0,5.0,2.0,3.0,4.0,A
2,2,7.0,5.0,2.3,2.87,3.4,D
0,0,2.0,5.0,6.0,3.4,1.61,D
1,1,5.0,6.0,2.37,2.87,2.87,D
2,0,6.0,4.0,3.1,3.0,2.4,H
4,3,9.0,4.0,1.22,5.5,13.0,H
1,0,9.0,4.0,1.7,3.25,4.5,H
0,4,4.0,8.0,4.0,3.1,2.0,A
1,1,3.0,3.0,2.2,3.1,3.4,D
0,0,1.0,3.0,2.05,3.1,3.75,D
1,0,5.0,7.0,2.37,2.9,3.2,H
1,1,3.0,2.0,1.9,3.1,4.33,D
0,4,1.0,6.0,2.5,2.87,3.0,A
1,1,2.0,5.0,6.0,3.4,1.61,D
0,1,3.0,3.0,2.75,2.87,2.75,A
3,0,14.0,1.0,1.4,4.0,9.0,H
0,1,5.0,7.0,2.3,2.87,3.4,A
0,0,8.0,6.0,1.22,5.5,13.0,D
1,0,7.0,2.0,1.36,4.33,9.0,H
3,2,8.0,5.0,1.8,3.2,4.75,H
0,0,7.0,4.0,1.57,3.4,7.0,D
1,1,5.0,5.0,4.75,3.2,1.8,D
3,1,9.0,3.0,2.0,2.87,4.33,H
0,2,4.0,4.0,2.5,2.8,3.1,A
1,2,1.0,8.0,3.2,2.87,2.4,A
2,1,4.0,3.0,1.2,5.5,17.0,H
0,0,4.0,0.0,1.61,3.4,6.0,D
2,3,4.0,9.0,1.57,3.6,6.0,A
0,3,7.0,5.0,2.87,2.87,2.6,A
1,0,3.0,5.0,5.0,3.4,1.72,H
1,0,3.0,1.0,2.3,2.87,3.4,H
0,0,8.0,0.0,2.1,3.0,3.75,D
2,2,3.0,3.0,2.37,2.75,3.4,D
3,2,4.0,3.0,2.37,2.87,3.25,H
3,1,8.0,2.0,3.4,2.87,2.3,H
3,0,5.0,1.0,1.4,4.0,9.0,H
0,0,1.0,2.0,1.9,3.1,4.33,D
0,2,5.0,4.0,1.5,3.6,7.5,A
1,0,4.0,6.0,2.0,3.0,4.0,H
1,1,11.0,5.0,1.36,4.33,9.0,D
0,0,3.0,4.0,3.75,3.0,2.1,D
3,3,4.0,5.0,2.0,2.87,4.33,D
0,1,2.0,6.0,6.5,3.5,1.57,A
1,1,5.0,4.0,2.87,2.87,2.6,D
4,1,11.0,4.0,1.28,4.5,13.0,H
2,1,7.0,9.0,1.5,3.75,7.0,H
3,2,8.0,5.0,2.1,3.0,3.75,H
2,2,10.0,3.0,1.25,5.0,13.0,D
2,0,6.0,7.0,2.2,3.0,3.4,H
1,1,9.0,4.0,1.9,3.0,4.5,D
0,1,6.0,4.0,3.4,2.87,2.3,A
3,4,15.0,8.0,2.6,2.8,3.0,A
0,1,2.0,10.0,2.6,2.8,3.0,A
0,1,5.0,4.0,2.37,2.87,3.25,A
1,0,2.0,0.0,2.4,2.87,3.2,H
1,1,4.0,4.0,2.5,2.87,3.0,D
2,3,6.0,5.0,2.0,3.0,4.0,A
0,0,5.0,3.0,1.72,3.3,5.0,D
0,0,2.0,4.0,2.0,3.0,4.0,D
2,1,8.0,4.0,2.2,2.8,3.75,H
3,1,6.0,4.0,2.25,2.87,3.5,H
0,1,7.0,5.0,2.0,2.87,4.33,A
2,2,4.0,4.0,1.9,3.0,4.5,D
2,0,5.0,3.0,6.0,3.2,1.66,H
0,0,3.0,1.0,2.2,2.8,3.75,D
1,1,3.0,4.0,2.37,2.87,3.25,D
2,0,6.0,4.0,1.14,6.5,21.0,H
1,0,3.0,1.0,2.6,2.75,3.0,H
2,0,6.0,4.0,1.66,3.25,6.0,H
3,1,6.0,3.0,2.0,3.0,4.0,H
1,1,6.0,2.0,2.1,2.8,4.0,D
3,1,10.0,4.0,1.66,3.4,5.5,H
1,2,11.0,6.0,2.0,3.0,4.0,A
0,1,7.0,3.0,2.4,2.8,3.3,A
3,2,8.0,3.0,2.4,2.8,3.3,H
5,0,11.0,0.0,2.3,2.87,3.4,H
2,2,9.0,4.0,2.25,2.8,3.6,D
3,0,11.0,4.0,1.44,4.0,7.5,H
1,2,3.0,8.0,6.5,3.5,1.57,A
3,0,8.0,8.0,1.83,3.25,4.5,H
0,1,4.0,7.0,2.1,2.8,4.0,A
1,0,3.0,4.0,3.5,2.87,2.25,H
0,0,5.0,8.0,5.5,3.4,1.66,D
1,1,3.0,5.0,5.0,3.3,1.72,D
2,2,5.0,7.0,2.37,2.87,3.25,D
1,0,4.0,2.0,1.2,5.5,17.0,H
3,0,9.0,5.0,1.9,3.1,4.33,H
1,4,1.0,6.0,2.7,2.8,2.87,A
7,0,16.0,2.0,1.3,4.5,12.0,H
1,0,3.0,1.0,2.5,2.87,3.0,H
3,0,4.0,5.0,2.1,3.0,3.75,H
2,0,8.0,3.0,3.0,2.87,2.5,H
1,0,12.0,3.0,1.25,5.0,13.0,H
1,2,6.0,2.0,2.0,2.8,4.0,A
2,0,5.0,3.0,2.1,2.8,4.0,H
1,0,4.0,5.0,2.37,2.87,3.25,H
3,1,9.0,4.0,1.44,3.75,8.5,H
1,2,3.0,8.0,3.2,2.75,2.5,A
2,2,6.0,4.0,2.3,2.8,3.5,D
2,4,4.0,9.0,3.6,2.87,2.2,A
1,1,6.0,5.0,3.5,2.8,2.3,D
2,0,4.0,3.0,1.22,5.5,13.0,H
2,1,5.0,4.0,1.33,4.5,9.5,H
2,2,4.0,4.0,2.4,2.87,3.2,D
2,2,5.0,5.0,5.0,3.0,1.83,D
1,0,5.0,5.0,1.9,3.25,4.0,H
0,2,2.0,8.0,1.9,3.1,4.33,A
0,2,5.0,4.0,2.37,2.9,3.2,A
0,0,5.0,3.0,4.33,2.87,2.0,D
1,0,7.0,3.0,2.1,2.8,4.0,H
1,1,9.0,1.0,1.83,3.0,5.0,D
3,0,9.0,3.0,1.57,3.5,6.5,H
2,1,5.0,4.0,1.72,3.1,5.5,H
3,2,9.0,5.0,1.72,3.3,5.0,H
0,0,4.0,3.0,1.9,3.0,4.5,D
1,0,3.0,7.0,2.5,2.87,3.0,H
0,1,4.0,5.0,3.25,3.0,2.3,A
0,3,2.0,6.0,7.0,3.4,1.57,A
3,0,6.0,5.0,3.2,2.87,2.4,H
0,0,4.0,3.0,1.36,4.0,11.0,D
0,0,4.0,0.0,1.9,3.1,4.33,D
2,2,6.0,3.0,2.5,2.87,3.0,D
3,1,6.0,5.0,2.0,2.8,4.5,H
0,2,1.0,5.0,3.0,2.75,2.6,A
2,0,11.0,5.0,1.14,6.5,21.0,H
1,1,4.0,2.0,2.6,3.1,2.7,D
2,2,8.0,7.0,2.2,3.0,3.4,D
0,1,4.0,3.0,2.3,2.87,3.4,A
4,0,12.0,3.0,1.9,3.25,4.0,H
1,1,9.0,4.0,2.3,2.87,3.4,D
1,2,7.0,4.0,2.25,2.87,3.5,A
0,2,1.0,7.0,3.2,2.9,2.37,A
3,2,5.0,3.0,2.05,2.9,4.0,H
1,0,7.0,6.0,2.1,2.9,3.8,H
0,2,4.0,4.0,4.0,3.0,2.0,A
1,1,3.0,9.0,2.2,2.87,3.6,D
3,0,6.0,6.0,1.33,4.33,10.0,H
4,0,6.0,4.0,1.25,5.0,13.0,H
4,1,8.0,1.0,2.0,3.0,4.0,H
1,2,6.0,8.0,4.5,3.25,1.83,A
3,0,7.0,2.0,3.0,2.87,2.5,H
4,2,6.0,4.0,2.37,2.87,3.25,H
4,0,7.0,3.0,1.28,4.5,13.0,H
2,1,5.0,6.0,1.25,5.0,13.0,H
1,1,4.0,4.0,2.25,2.87,3.5,D
